t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-07-18","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","1600","2000","2000"
"2025-07-18","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2600","2800","2800"
"2025-07-18","Brinjal","10348","Lakhipur","18","Assam","302","Goalpara","Brinjal","1200","1600","1500"
"2025-07-18","Brinjal","10359","Manja","18","Assam","314","Karbi Anglong","Brinjal","1400","1500","1500"
"2025-07-18","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1500","1500"
"2025-07-18","Brinjal","10343","Chapar","18","Assam","301","Dhubri","Brinjal","1200","1600","1400"
"2025-07-18","Brinjal","10337","Banglagarh","18","Assam","325","Darrang","Brinjal","1000","1500","1200"
"2025-07-17","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2300","2600","2600"
"2025-07-17","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","2400","2600","2600"
"2025-07-17","Brinjal","10378","Kakoi Weekly Market","18","Assam","307","Lakhimpur","Brinjal","1700","1800","1800"
"2025-07-17","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2500","2700","2700"
"2025-07-17","Brinjal","10349","Sonari","18","Assam","302","Goalpara","Brinjal","1200","1500","1400"
"2025-07-17","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1500","1500"
"2025-07-17","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1200","1500","1200"
"2025-07-16","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2700","2800","2800"
"2025-07-16","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","2000","2400","2000"
"2025-07-16","Brinjal","10347","Krishnai","18","Assam","302","Goalpara","Brinjal","1500","1800","1600"
"2025-07-16","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1400","1700","1500"
"2025-07-15","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2200","2300","2300"
"2025-07-15","Brinjal","10373","Mukalmua","18","Assam","323","Nalbari","Brinjal","1800","2000","2000"
"2025-07-15","Brinjal","10375","Baginadi","18","Assam","307","Lakhimpur","Brinjal","2000","2500","2200"
"2025-07-15","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2300","2600","2600"
"2025-07-15","Brinjal","10350","Simlitola","18","Assam","302","Goalpara","Brinjal","1200","1500","1500"
"2025-07-15","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1500","1800","1700"
"2025-07-15","Brinjal","10342","Bilasipara","18","Assam","301","Dhubri","Brinjal","1600","2000","1800"
"2025-07-15","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1200","1500","1300"
"2025-07-13","Brinjal","10372","Kumrikata","18","Assam","323","Nalbari","Brinjal","2000","2600","2400"
"2025-07-13","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1500","1800","1700"
"2025-07-12","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","2000","2600","2400"
"2025-07-12","Brinjal","10376","Ghilamara","18","Assam","307","Lakhimpur","Brinjal","1800","2400","2400"
"2025-07-12","Brinjal","10346","Jaleswar","18","Assam","302","Goalpara","Brinjal","1500","2000","2000"
